Utilisateur,Date_connexion,Duree_session,Page_principale_visitee,Note_satisfaction
U001,2024-01-03,45,Cours,4
U002,2024-01-04,60,Accueil,5
U003,2024-01-05,20,Forum,3
U004,2024-01-07,15,Profil,2
U005,2024-01-10,70,Cours,5
U006,2024-01-12,25,Accueil,4
U007,2024-01-13,80,Cours,5
U008,2024-01-15,55,Forum,4
U009,2024-01-17,35,Profil,3
U010,2024-01-20,90,Cours,5
U011,2024-02-01,40,Forum,4
U012,2024-02-03,20,Accueil,3
U013,2024-02-06,60,Cours,5
U014,2024-02-09,50,Profil,3
U015,2024-02-12,30,Forum,2
U016,2024-02-15,75,Cours,5
U017,2024-02-18,10,Accueil,2
U018,2024-02-21,35,Profil,4
U019,2024-02-24,85,Cours,5
U020,2024-02-27,60,Accueil,4
