Utilisateur,Date_connexion,Duree_session,Page_principale_visitee,Note_satisfaction,Mois
U001,2024-01-03,45,Cours,4,Janvier
U002,2024-01-04,60,Accueil,5,Janvier
U003,2024-01-05,20,Forum,3,Janvier
U004,2024-01-07,15,Profil,2,Janvier
U005,2024-01-10,70,Cours,5,Janvier
U006,2024-01-12,25,Accueil,4,Janvier
U007,2024-01-13,80,Cours,5,Janvier
U008,2024-01-15,55,Forum,4,Janvier
U009,2024-01-17,35,Profil,3,Janvier
U010,2024-01-20,90,Cours,5,Janvier
U011,2024-02-01,40,Forum,4,Février
U012,2024-02-03,20,Accueil,3,Février
U013,2024-02-06,60,Cours,5,Février
U014,2024-02-09,50,Profil,3,Février
U015,2024-02-12,30,Forum,2,Février
U016,2024-02-15,75,Cours,5,Février
U017,2024-02-18,10,Accueil,2,Février
U018,2024-02-21,35,Profil,4,Février
U019,2024-02-24,85,Cours,5,Février
U020,2024-02-27,60,Accueil,4,Février
